0.0	65231
0.005	65487
0.01	65535
0.015	65423
0.02	65327
0.025	65391
0.03	65375
0.035	65263
0.04	65311
0.045	65231
0.05	65311
0.055	65359
0.06	65343
0.065	65423
0.07	65535
0.075	65423
0.08	65343
0.085	65535
0.09	65359
0.095	65471
0.09999999	65535
0.105	65423
0.11	65295
0.115	65311
0.12	65247
0.125	65279
0.13	65535
0.135	65391
0.14	65455
0.145	65503
0.15	65455
0.155	65535
0.16	65471
0.165	65375
0.17	65455
0.175	65359
0.18	65343
0.185	65359
0.19	65455
0.195	65423
0.2	65343
0.205	65375
0.21	65263
0.215	65359
0.22	65343
0.225	65327
0.23	65407
0.235	65327
0.24	65263
0.245	65263
0.25	65535
0.255	65343
0.26	65423
0.265	65455
0.27	65503
0.275	65535
0.28	65535
0.285	65455
0.29	65343
0.295	65375
0.3	65439
0.305	65263
0.31	65311
0.315	65375
0.32	65439
0.325	65375
0.33	65423
0.335	65439
0.34	65295
0.345	65359
0.35	65231
0.355	65423
0.36	65263
0.365	65471
0.37	65359
0.375	65535
0.38	65375
0.385	65391
0.39	65343
0.395	65311
0.4	65471
0.405	65455
0.41	65343
0.415	65359
0.42	65535
0.425	65471
0.43	65503
0.435	65423
0.44	65311
0.445	65327
0.45	65311
0.455	65503
0.46	65391
0.465	65327
0.47	65295
0.475	65423
0.48	65487
0.485	65263
0.49	65359
0.495	65487
0.5	65535
0.505	65455
0.51	65487
0.515	65487
0.52	65535
0.525	65535
0.53	65167
0.5349999	65535
0.54	65519
0.545	65391
0.55	65295
0.555	65295
0.56	65327
0.565	65487
0.57	65279
0.575	65375
0.58	65263
0.585	65487
0.59	65519
0.595	65455
0.6	65167
0.605	65439
0.61	65391
0.615	65359
0.62	65375
0.625	65391
0.63	65183
0.635	65247
0.64	65375
0.645	65327
0.65	65311
0.655	65519
0.6599999	65359
0.665	65503
0.67	65407
0.675	65471
0.68	65391
0.685	65231
0.69	65247
0.695	65279
0.7	65455
0.705	65375
0.71	65215
0.715	65375
0.72	65391
0.725	65487
0.73	65247
0.7349999	65439
0.74	65247
0.745	65423
0.75	65327
0.755	65375
0.76	65455
0.765	65391
0.77	65439
0.775	65295
0.78	65279
0.7849999	65327
0.79	65359
0.795	65423
0.8	65535
0.805	65311
0.81	65343
0.815	65327
0.82	65327
0.825	65263
0.83	65327
0.8349999	65311
0.84	65359
0.845	65263
0.85	65391
0.8549999	65295
0.8599999	65359
0.865	65455
0.87	65535
0.875	65231
0.88	65535
0.885	65455
0.89	65375
0.895	65263
0.9	65311
0.9049999	65359
0.9099999	65327
0.915	65343
0.92	65471
0.925	65439
0.93	65391
0.935	65471
0.94	65471
0.945	2480
0.95	65471
0.955	65487
0.9599999	65503
0.965	65311
0.97	65455
0.975	65391
0.9799999	65391
0.9849999	65503
0.99	65423
0.995	65375
1.0	65423
1.005	65279
1.01	2400
1.015	65471
1.02	65199
1.025	65535
1.03	65487
1.035	65423
1.04	65375
1.045	65535
1.05	65519
1.055	65311
1.06	65359
1.065	65263
1.07	65455
1.075	65423
1.08	65375
1.085	65439
1.09	65503
1.095	65263
1.1	65439
1.105	65439
1.11	65263
1.115	65343
1.12	65247
1.125	65455
1.13	65535
1.135	65263
1.14	65519
1.145	65423
1.15	65455
1.155	65311
1.16	65359
1.165	65439
1.17	65455
1.175	65439
1.18	65471
1.185	65327
1.19	65343
1.195	65263
1.2	65247
1.205	65375
1.21	65455
1.215	65375
1.22	65439
1.225	65359
1.23	65215
1.235	65391
1.24	65391
1.245	65487
1.25	65503
1.255	65519
1.26	65359
1.265	65455
1.27	65423
1.275	65359
1.28	65359
1.285	65455
1.29	65535
1.295	65359
1.3	65343
1.305	65535
1.31	65263
1.315	65471
1.32	65535
1.325	65391
1.33	65439
1.335	65455
1.34	65263
1.345	65535
1.35	65295
1.355	65215
1.36	65359
1.365	65391
1.37	65359
1.375	65423
1.38	65311
1.385	65391
1.39	65231
1.395	65311
1.4	65535
1.405	65359
1.41	65247
1.415	65535
1.42	65455
1.425	65279
1.43	65535
1.435	65439
1.44	65247
1.445	65263
1.45	65471
1.455	65343
1.46	65375
1.465	65327
1.47	65263
1.475	65391
1.48	65423
1.485	65295
1.49	65439
1.495	65311
1.5	65471
1.505	65295
1.51	65439
1.515	65423
1.52	65375
1.525	65311
1.53	65487
1.535	65343
1.54	65375
1.545	65311
1.55	65295
1.555	65279
1.56	65455
1.565	65359
1.57	65359
1.575	65391
1.58	65247
1.585	65327
1.59	65439
1.595	65471
1.6	65359
1.605	65439
1.61	65263
1.615	65359
1.62	65455
1.625	65407
1.63	65487
1.635	65327
1.64	65391
1.645	65263
1.65	65343
1.655	65487
1.66	65455
1.665	65487
1.67	65087
1.675	65199
1.68	65535
1.685	65279
1.69	65247
1.695	65375
1.7	65247
1.705	65311
1.71	65279
1.715	65375
1.72	65423
1.725	65487
1.73	65535
1.735	65295
1.74	65455
1.745	65423
1.75	65263
1.755	65423
1.76	65487
1.765	65391
1.77	65423
1.775	65391
1.78	2368
1.785	2480
1.79	65503
1.795	65503
1.8	65535
1.805	65247
1.81	65423
1.815	65535
1.82	65279
1.825	65247
1.83	65407
1.835	65519
1.84	65263
1.845	65231
1.85	65295
1.855	65423
1.86	65487
1.865	65535
1.87	65359
1.875	65359
1.88	65247
1.885	65359
1.89	65455
1.895	65311
1.9	65311
1.905	65487
1.91	65503
1.915	65359
1.92	65231
1.925	65471
1.93	65247
1.935	65535
1.94	65519
1.945	2480
1.95	2464
1.955	65359
1.96	65375
1.965	65311
1.97	65439
1.975	65487
1.98	65311
1.985	65535
1.99	65311
1.995	65407
2.0	65359
2.005	65519
2.01	65247
2.015	65247
2.02	65343
2.025	65327
2.03	65295
2.035	65503
2.04	65487
2.045	65231
2.05	65375
2.055	65391
2.06	65311
2.065	65535
2.07	65535
2.075	65487
2.08	65455
2.085	65423
2.09	65487
2.095	65487
2.1	65359
2.105	65343
2.11	65503
2.115	65487
2.12	65247
2.125	65247
2.13	65439
2.135	65439
