0.0	2496
0.005	2480
0.01	2512
0.015	2512
0.02	2480
0.025	2576
0.03	2480
0.035	2448
0.04	2528
0.045	2496
0.05	2608
0.055	2496
0.06	2528
0.065	2592
0.07	2544
0.075	2448
0.08	2480
0.085	2512
0.09	2528
0.095	2576
0.09999999	2432
0.105	2624
0.11	2576
0.115	2544
0.12	2512
0.125	2528
0.13	2448
0.135	2496
0.14	2464
0.145	2496
0.15	2560
0.155	2480
0.16	2544
0.165	2592
0.17	2496
0.175	2352
0.18	2528
0.185	2592
0.19	2400
0.195	2512
0.2	2480
0.205	65311
0.21	65535
0.215	65327
0.22	65391
0.225	65535
0.23	65439
0.235	65295
0.24	65375
0.245	65423
0.25	65263
0.255	65407
0.26	65471
0.265	65359
0.27	65359
0.275	65535
0.28	65295
0.285	65391
0.29	65535
0.295	65535
0.3	65375
0.305	65359
0.31	65391
0.315	65519
0.32	65327
0.325	65535
0.33	65503
0.335	65535
0.34	65311
0.345	65535
0.35	65439
0.355	65247
0.36	65359
0.365	65359
0.37	2528
0.375	2480
0.38	65343
0.385	65391
0.39	65359
0.395	65327
0.4	65375
0.405	65487
0.41	65343
0.415	65487
0.42	65423
0.425	65407
0.43	65247
0.435	65343
0.44	65423
0.445	65535
0.45	65535
0.455	65311
0.46	65263
0.465	65359
0.47	65359
0.475	65423
0.48	65359
0.485	65487
0.49	65375
0.495	65423
0.5	65263
0.505	65343
0.51	65391
0.515	65535
0.52	65535
0.525	65535
0.53	65439
0.5349999	65423
0.54	65391
0.545	65391
0.55	65375
0.555	65535
0.56	65263
0.565	65327
0.57	65471
0.575	65535
0.58	65327
0.585	65503
0.59	65311
0.595	65439
0.6	65423
0.605	65503
0.61	65247
0.615	65359
0.62	65359
0.625	65423
0.63	65439
0.635	65247
0.64	65439
0.645	65391
0.65	65343
0.655	65535
0.6599999	65295
0.665	65263
0.67	65471
0.675	65359
0.68	65375
0.685	65343
0.69	65487
0.695	65455
0.7	65503
0.705	65375
0.71	65423
0.715	65455
0.72	65423
0.725	65375
0.73	65231
0.7349999	65487
0.74	65327
0.745	65519
0.75	65295
0.755	65503
0.76	65503
0.765	65503
0.77	65279
0.775	65311
0.78	65375
0.7849999	65423
0.79	65439
0.795	65439
0.8	65295
0.805	65471
0.81	65471
0.815	65391
0.82	65487
0.825	65375
0.83	65407
0.8349999	65519
0.84	65487
0.845	65295
0.85	65423
0.8549999	65375
0.8599999	65535
0.865	65263
0.87	65487
0.875	65535
0.88	65439
0.885	65471
0.89	65359
0.895	65439
0.9	65343
0.9049999	65519
0.9099999	65455
0.915	65343
0.92	65471
0.925	65439
0.93	65487
0.935	65359
0.94	65375
0.945	65535
0.95	65343
0.955	65247
0.9599999	65487
0.965	65359
0.97	65343
0.975	65439
0.9799999	65487
0.9849999	65231
0.99	65503
0.995	65359
1.0	65311
1.005	65471
1.01	65295
1.015	65391
1.02	65263
1.025	65503
1.03	65375
1.035	65535
1.04	65423
1.045	65519
1.05	65231
1.055	65375
1.06	65311
1.065	65503
1.07	65455
1.075	65535
1.08	65439
1.085	65455
1.09	65295
1.095	65535
1.1	65167
1.105	65375
1.11	65439
1.115	65391
1.12	65359
1.125	65295
1.13	65423
1.135	65359
1.14	65231
1.145	65503
1.15	65263
1.155	65439
1.16	65343
1.165	65487
1.17	65359
1.175	65295
1.18	65423
1.185	65295
1.19	65471
1.195	65503
1.2	65519
1.205	65359
1.21	65455
1.215	65535
1.22	65439
1.225	65455
1.23	65439
1.235	65391
1.24	65231
1.245	65327
1.25	65327
1.255	65375
1.26	65375
1.265	65535
1.27	65327
1.275	65423
1.28	65519
1.285	65263
1.29	65183
1.295	65327
1.3	65359
1.305	65535
1.31	65423
1.315	65263
1.32	65535
1.325	65455
1.33	65263
1.335	65359
1.34	65519
1.345	65343
1.35	65535
1.355	65215
1.36	65503
1.365	65455
1.37	65503
1.375	65391
1.38	65375
1.385	65535
1.39	65295
1.395	65535
1.4	65295
1.405	65423
1.41	65279
1.415	65471
1.42	65375
1.425	65519
1.43	65327
1.435	65503
1.44	65231
1.445	65391
1.45	65247
1.455	65407
1.46	65423
1.465	65535
1.47	65135
1.475	65359
1.48	65535
1.485	65423
1.49	65359
1.495	65535
1.5	65343
1.505	65503
1.51	65327
1.515	65423
1.52	65359
1.525	65375
1.53	65487
1.535	65375
1.54	65471
1.545	65535
1.55	65487
1.555	65327
1.56	65471
1.565	65375
1.57	65519
1.575	65535
1.58	65359
1.585	65455
1.59	65359
1.595	65535
1.6	65359
1.605	65471
1.61	65487
1.615	65375
1.62	65375
1.625	65247
1.63	65487
1.635	65375
1.64	65487
1.645	65535
1.65	2480
1.655	2656
1.66	2512
1.665	2576
1.67	65279
1.675	65311
1.68	65311
1.685	65359
1.69	65455
1.695	65391
1.7	65327
1.705	65295
1.71	65439
1.715	65359
1.72	65487
1.725	65487
1.73	65311
1.735	65471
1.74	65391
1.745	65487
1.75	65471
1.755	65487
1.76	65295
1.765	65375
1.77	65439
1.775	65487
1.78	65311
1.785	65391
1.79	65407
1.795	65519
1.8	65295
1.805	65263
1.81	65375
1.815	65423
1.82	65391
1.825	65375
1.83	65263
1.835	65343
1.84	65247
1.845	65535
1.85	65359
